confidence_threshold,coverage,selective_accuracy
0.3,0.9922,0.8097157831082443
0.4,0.9561,0.8277376843426419
0.5,0.889,0.8555680539932509
0.6000000000000001,0.7972,0.8914952333166082
0.7000000000000002,0.7096,0.9175591882750845
0.8000000000000003,0.6033,0.9449693353223935
0.9000000000000001,0.4687,0.9729037764028163
