confidence_threshold,coverage,selective_accuracy
0.3,0.9742,0.6179429275302812
0.4,0.8813,0.6513105639396346
0.5,0.744,0.7036290322580645
0.6000000000000001,0.5984,0.7571858288770054
0.7000000000000002,0.4713,0.8107362614046255
0.8000000000000003,0.3419,0.869260017548991
0.9000000000000001,0.2096,0.9327290076335878
